#,Type,Name,Subtitle,Tier,Genre,Base,Flavor Text,Mecha Slot Passive,Size,Charges,Passive,Active,Ultimate
125,Accessory,Giity-chan,,1,Slice of Life,Imag +1,"The orange sunburst pattern is iconic, and the wound strings on this guitar are tuned just right!",,,,"Standard Gibston - When rolling to perform, you may reroll a number of dice up to your Imag, using the new rolls","Rock On - Free Action, 1PP - When rolling to perform, you may double the number of dice rolled",Guitar Smash - Free Action - Maximize the next roll and then destroy this item
126,Accessory,Satchel Charge,,2,Thriller,Know +1,"It's not a pipe bomb, and it's not a block of C4, but that blinking light sure is unnerving.",,,,Detonator - You can choose to delay the activation of any power that doesn't target a specific character by up to 3 rounds. Any non-instantaneous power you use can instead be triggered as a reaction during any point in the round.,"Planted - Bonus Action, 2PP - Choose a target within 2 spaces. At the end of its next turn, apply Wound 4 whenever the target uses a power","00:00 - Action - Radius 3, Inst/Know, add 5d6, 2 Damage, Backfire, target gain Wound 4 whenever they use a power "
131,Accessory,Night Vision Goggles,,1,Thriller,Imag +1,"""Bravo 6, going dark""",,,,"Lights Out - You can see in the dark, although only in shades of gray","Silent Killer - Free Action, 1PP - Your next attack is impossible to detect","On the Line - Free Action - For a Stealth or Search check, Threshold Reduction 4"
132,Accessory,Water Goddess' Rainment,,4,Comedy,"Inst +1
Str +1
End +1
Know +1
Agi +1","The translucent silk continuously undulates, as if suspended underwater.",,,,Purify Water - Up to a gallon of liquid you touch becomes Holy Water,"Turn Undead - Bonus Action, 4PP - Any Horror creatures within 4 spaces of you are pushed back 2 spaces, Slowed, and Wound 8 whever they get closer to you","God Blow - Free Action - add 20d6 to a weapon attack or power, as long as it does not rely on Imag"
133,Accessory,Jade Bracer,,2,Action,Inst +1,This gothic bracer is made from a gleaming green metal. There's a built-in sheathe that could probably fit a large dagger under it.,,,,"Concealed Compartment - Any item in your genre slot is hidden, increasing any thresholds to find it by 2","Unshielded Guard - Reduce an attack's damage to 0, reduce your End by 1 until the end of combat","Instinctual Defense - Bonus Action - Until the end of your next turn, increase Threshold by Inst"
134,Accessory,Shining Glasses,,3,Slice of Life,Know +2,"""So, can you, like, actually see out of those?""",,,,"Uncannily Reflective - These glow a stark opaque white, even when there is no other light present","Unquestionable Intellect - Free Action, 3PP - For one round, increase your Know by 6","Savant - Free Action - For one round, multiply your Know by Know"
135,Accessory,Phone Charm,,1,Slice of Life,Imag +1,This vinyl phone charm depicts a popular character. Wouldn't it be weird if that was you?,,,,Flip Phone - You can communicate with anyone else you've met who has a phone,"Socialite - Free Action, 1PP - Decrease an Appeal Threshold by 1",Wrong Number - Action - You can call a person who you haven't met and/or doesn't have a phone
136,Accessory,Body Pillow,,1,Romance,Imag +1,Bridging the gap between 2D and 3D with something more comforting than a mother's hug.,,,,Enthusiasm - Your move distance increases by 1 space,"Behold My Waifu - Action, 1PP - Ranged Line-of-Sight, If target is not Blinded: Wound equal to the number of characters within their Imag spaces of them",Body Block - Reaction - Reduce damage dealt to you by an attack to 0
141,Accessory,Horrific Body Pillow,,4,Romance,Imag +3,Bridging the gap between 2D and 3D with something more revolting than a tentacle's slimy hug.,,,,"Eldritch Enthusiasm - Your move distance increases by 1 space, if an enemy enters an adjacent space: Slow, Wound Imag whenever the target takes a move action","Behold Wgah'nagl - Action, 4PP - Ranged Line-of-Sight, Blind, Slow, Permanent Threshold Reduction 2","Black Tentacles - Radius 6, Blind, Slow, Madness, Pull 3, and Wound Imag whenever they move"
142,Accessory,Trusty Bike,,1,Slice of Life,Speed +2,"This bike has seen better days, but it's been by your side through and through.",,,,"Pedal-Powered - Seats 1, Your move distance increases by 1 space","Power Through - Free Action, 1PP - For one turn, your move distance increases by End spaces","Pumpin' Pedals - Free Action - When Travelling, multiply distance traveled by End"
143,Accessory,Bicycle of Justice,,3,Comedy,Speed +6,"This bike has seen better days, but it remains the perfect companion for a hero of justice.",,,,"Justice-Powered - Seats 2, Your move distance increases by End spaces","Justice Crash - Melee, Stun, everyone riding the bike dismounts","True Heroism - Bonus Action - For 1 minute, gain Competitive"
144,Accessory,Retaliator,The Strike-Before,5,Subversion,Know +4,"Effect without Cause, reversing time to strike your target, a blade of liquid quicksilver, they reform, before anyone can close the gap, these balls of lead orbit around you, Cause without Effect.",,,3,"Gouging Dagger - This item has 3 charges. When this item's ultimate is activated, instead of discharging the item, reduce the number of charges by 1","Of Blood and Lead - Free Action, 5PP -This item gains a charge","Ace-Killing Joker - When targeted by an ultimate or ability: this ultimate acts before the triggering action is resolved, Inst/Know, add 25d6, 5 Damage, add all effects of triggering ultimate or ability"
145,Accessory,Chains of Heaven,,3,Action,Str +2,"""Could an all-powerful being forge chains so strong that even they could not escape them?""",,,,"Chain and Shackle - Ranged 6, As a Bonus Action this item attempts to grapple the target using your Str","Lockdown - Free Action - Ranged 6, When attacked by a target in range, this item can attempt to grapple it using your Str","Bounded Field - Free Action - Radius 6, at any time, the area around you is filled with chains. This item attempts to grapple all targets using your Str+Imag"
146,Accessory,Essense of Heracles,Embodiment of Heroism,4,Action,Athletics +8,"There once was a myth passed down of the greatest hero. He accomplished numerous feats thought to be impossible, and that was only the start of his legacy. Now, many years later, a new person has become the greatest hero. Show them the strength of your resolve, and the fires of your determination, for the bards will sing your tale!",,,12,"Demi-God's Might - Only one is active at any one time: 
If above 75% Max HP: +1 End 
If above 50% Max HP: +2 End 
If below 50% Max HP: +3 End 
If below 25% Max HP: +4 End","12 Impossible Tasks - Free Action, 1 Charge - This item has 12 Charges. You may spend a charge to add End successes to a check or save. You regain a charge after defeating an enemy with Boss Resists","Nemean Hide - Reduce all incoming damage for the next X turns to 0, where X is the number of remaining charges."
151,Accessory,Adventurer's Spirit,Journey's Calling,2,Action,Reflexes +4,"No matter what adversity you might face, you'll take the challenge head on!",,,,"Adventurer's Determination - Only one is active at any one time: 
If below 50% Max HP: +1 Agi and Inst
If below 25% Max HP: +2 Agi and Inst","Uncanny Dodge - Reaction, 2 PP - When hit by an attack: Reduce number of successes by 2, potentially causing the attack to miss","Never Back Down - Free Action - When you drop to 0 hp, gain Competitive for the next 2 rounds"
152,Accessory,Soul Crystal,,3,Thriller,Imag +2,"The power of the soul can be a ceaseless torrent, if you having the right prism to focus it.",,,,"Power of the Soul - Your weapon gains Projection Magecraft, You may regain a number of PP equal to your End as a Free Action, taking damage equal to the summed roll of End d6","Magical Athleticism - Free Action, 3PP - For one round, you may use Imag in place of Str, End, or Agi","Irrefutable End - Radius Imag, you deal 20 minus your remaining PP damage, Imag d6, You die"
153,Accessory,Violin Case,Tommy's Friend,1,Thriller,Stealth +1,"It's a classic move, they'll never see it coming!",,,,"Empty Case - This item can go into your Genre Slot. While this is equipped, you may designate another equipped item. This item is concealed, increasing Thresholds to find it by 2","Jam Packed - Bonus Action, 1PP - You may designate an additional item with Empty Case for an hour, after which it spills out of the case","Keep The Change - Free Action - This turn, attacks from your designated weapon are impossible to detect"
154,Accessory,Mirrored Shield,,2,Action,DR 2,"This perfectly mirrored shield remains spotless, the gloss so fine that no wayward speck could every hope to stick to it.",,,,High-Gloss Finish - You cannot be targeted by Line-of-Sight effects,"Reflective - Reaction, 2PP - When targeted by a ranged attack, the attacker targets themselves instead","The Limits of Light - Reaction - When targeted by a cone or area effect, the effect targets only the attacker instead"
155,Accessory,First Aid Kit,,2,Comedy,Know +1,"This plastic case holds a wide array of medical equipment, more than you could ever hope for in the field.",,,,"Adhesive Bandage - Whenever you make a melee attack, you can instead heal target by Know","First Aid - Action , 2PP - Melee, Roll Know, heal target by the summed amount of dice rolled","Field Surgery  - Melee, set a target's health to 7"
156,Accessory,Gorgon Shield,,3,Horror,DR 4,"""A monster that turns people into stone for looking into it? Sounds made up to me."" - final documented words of Johnny Shades",,,,"Petrifying Visage - When targeted by an attack, the attacker rolls a d6. On a 1: The attacker is Paralyzed until the end of their next turn","Blind Defense - Bonus Action, 3PP - If used at the start of your turn: Until the start of your next turn, your attacks have TI 2, and when targeted by an attack, Paralyze the attacker",Flashstone - Action - Targets in Cone 5 are Paralyzed until the end of their next turn
161,Accessory,Advanced Alloy Shield,,3,Mecha,DR 4,"This shield is made up of a high-end alloy taken from a fallen spacecraft. If this were a gun-oriented MMO, this would be just about as high in the tech tree as you could go.",,,,"Deployed Cover - This item can be placed or retrieved with a bonus action, taking up three spaces in an arc. These spaces can still be moved into, and attacks passing through these spaces gain TI1 unless they originate in a space adjacent to the shield","Shock Dampeners - Reaction, 3PP - When hit by an effect that effects other targets, it effects only you","Ultimate Cover - Free Action - While deployed, the shield takes up 6 connected spaces. The TI1 becomes TI3. At the end of your next turn, the item is depleted."
162,Accessory,Imagine Breaker,,4,Subversion,Inst +3,This curse of yours can be a troublesome one. Imagination and power systems based off it seem to just stop. Magic? Force of will? Pickup lines? It all seems to just crumble down.,,,,"Rationale - When targeted by an Imag-based effect, roll a d6. If the number rolled is positive: the triggering effect is nullified","Applied Rationale - Reaction, 4PP - When targeted by an Imag-based effect, roll Inst, the Threshold being the tier of the effect. For each success, the attacker's Imag is set to 0 for 1 round","Leveled Field - Action - Radius 12, for Inst turns, all affected targets have their Imag set to 0, and lose 4 PP or 1 Boss Resist at the start of their turns"
163,Accessory,Midas Ingot,,2,Art,Appeal +4,It's a solid gold bullion that turns other people into solid gold. What's not to love about it?,,,,"Wealth - When you land the finishing blow on an enemy, it drops Inst or Know more gold","Golden Touch - Free Action, 2PP - If you deal damage to an enemy with less than half health, you may roll a d6. If the roll is even, it is turned into a statue of gold worth its max HP in gold. This can be resisted by Boss Resist.","Statueify! - Action - Line-of-Sight, Area 4, roll d6s for all affected targets as if Golden Touch had triggered."
164,Accessory,Football Helmet,,2,Sports,Athletics +4,"The paint has dulled considerably over time, and there are multiple bumps and scratches, but this will protect your noggin.",,,,"Push On - You always roll to save against Grapple. When you roll to save from Grapple, roll the save twice.","Nimble Footwork - Move, 2PP - Move up to your move speed, this does not provoke reactions.",Unstoppable Charge - gain Unstoppable until the end of combat
165,Accessory,Winning Ticket,,2,Slice of Life,Imag +1,"A winning scratch-off ticket, golden lotto ball, or lucky gachapon capsule. Whatever it is, you're lucky.",,,,"Extremify - Whenever you roll, you may choose to first roll a d6. If the result is odd your roll gains TR1, if even your roll gains TI1.","Luck - Bonus Action, 2PP - Roll a d6. 
If the result is odd: gain TR1 until your next turn 
If the result is even: choose a target in line-of-sight. Their rolls gain TI 1 until the end of their next turn.","Lucky Mascot - Bonus Action - Until the end of your next turn, you and all allies gain TR2."
166,Accessory,Vat of Acid,Cartoon Classic,3,Comedy,End +2,"It's a vat of acid. I guess you wouldn't want to swim in it. You tested it with some pH strips and yep, it's pretty acidic. Wait, so do you just drag this thing around all the time?",,,,"Stationary Vat - The Vat of Acid is a Size 3 object. It is not affected by attacks and cannot be destroyed. Characters cannot move through these spaces. Anything moving into or starting their turn within one of the vat's spaces gains Wound 10 and is Slowed, Backfired, and Blinded until the end of their turn. ","Place Vat - Bonus Action, 3PP - Choose a Size 3 zone adjacent to you. A Vat of Acid now inhabits these spaces. It lasts for an hour, after which its high acidity manages to melt the vat and all of the acid within, leaving no trace of its existence.","Acid-Proof Shoes - Action - Radius 5, this area now counts as a placed Vat of Acid. Allied characters ignore this effect."
211,Accessory,Captain's Tricorne,,3,Action,Inst +2,A topper required by any self-respecting pirate captain or vessel-bound adventurer!,,,,"Quick-Witted - When attacked, reduce the damage dealt by 4","Swashbuckler - Reaction, 3PP - When a target moves into melee range, immediately move up to your movement speed without provoking attacks of oppurtunity","Field Commander - Free Action - for Know turns, all allies gain TR 2"
212,Accessory,Onboard Concierge AI,Companion Mind,4,Mecha,Magic +8,"""With two heads combined, you'll need to to half the thinking!"" - OCAI Sales Pitch
This chip just needs to be firmly planted on one's skull, and the magnetic impulses will read and modify the user's brainwaves. Dissociation is reported to be a common sideffect",,,,"Parallel Processing - You may choose to Reroll any Checks and Saves, but must keep the second result","Summation- Reaction, 4PP - When you roll, you may choose to roll twice the dice, choosing half of them to count towards the roll",Machine Mind - Free Action - You gain an extra Action and Bonus Action
213,Accessory,Groucho Glasses,,2,Comedy,Know +1,Glasses automatically make someone smarter. That's probably why nobody recognizes you when you wear them.,,,,"Alter Ego - When you put on the glasses, you appear like a completely different person. Nobody can connect the identities together unless someone sees you put on or take off the glasses.","Smarty-Pants -  Free Action, 2PP - For one round, increase your Know by 3","For the Laughs - Free Action - When you make someone laugh, you may maximize your next roll"
214,Accessory,Tinkerer's Glasses,,2,Thriller,Know +1,These glasses include multiple small lenses that can be dropped in front to increase the zoom. Good for hobbyists and tinkerers.,,,,Impromptu Zoom - Ranged attacks increase their range by 4,"Multi-Zoom Lens - Reaction, 2PP - When you fail a Reflexes check, you may gain Inst or Agi successes","Steadyhand - Free Action - Add your Inst or Agi to a skill check, even if it already uses Inst or Agi"
215,Accessory,Mouth Toast,,2,Slice of Life,Agi +1,The most important meal of the day is often missed on important occassions when one accidentally oversleeps.,,,,"Most Important Meal - You can eat meals while travelling. Whenever you eat a meal, gain 4PP.","Speedy Meals - Free Action, 2PP - After you eat a meal, you can increase your move speed increases by 2 for an hour","Always Butter-Side Down - Free Action - If you need to resolve something by coin flip or an even/odd roll, you choose the outcome."
216,Accessory,Holy Hand Grenade,,3,Comedy,"Str + 3
Know - 1","Consult the Book of Armaments, chapter two, verses nine through twenty-one. It explodes with the harmony of an angelic choir.",,,,"Shalt Thou Count - Whenever you attack and roll a 3, it counts as a 6. You can attack the source of Fear effects.","Lobbest Thou - Action, 3PP - Range 5 Area 2 +6d6, Stuns","Snuff It - Reaction - Whenever you would be Feared or Stunned, ignore the effect and make an attack against the source of the effect, +15d6, Stuns"
221,Accessory,Present Grenade,,2,Comedy,"Agi -1
Inst +2","""They say the first competition had two winners, because the one who was going to win lowered their guard and got hit by a present grenade."" - Minon",,,,"Out of the Blue - When attacking unsuspecting targets, +2d6 and TR1","With Love - Free Action, 2PP - Add Radius 2 to an attack","Best Gift Ever - Action - Melee, Radius 3, 20d6, inflicts Backfire on self"
222,Accessory,Echoing Voices,,2,Horror,Magic +4,"""Together we can accomplish great tasks, oh bearer mine""",,,3,"Ethereal Advice - You may choose to Reroll any Checks, but must keep the second result. This item can only be Recharged by consuming a charge","Haunting Step - Bonus Action, 2PP - Move 3 spaces, ignoring reactions","Perchance to Fail - Free Action - Before you roll, roll a d6
Even result - The roll is Maximized
Odd result - The roll is Minimized"
223,Accessory,Sextant and Compass,,2,Thriller,Know +1,"Before there were cell phones and GPS, there were stars to light the way.",,,,Guided by Stars - You can't be lost,"Chart the Course - Free Action, 2PP - When travelling by vehicle, the distance travelled is doubled",We're Lost - Free Action - Relocate yourself up to 10 miles instantly
224,Accessory,Cleats,,3,Sports,Agi +2,These spiked shoes are used by athletes to maintain their footing while quickly maneuvering.,,,,"Spiked Soles - Your speed cannot be reduced, and each space of movement costs no less than a point of movement to move through. As a bonus action, you can move up to your full move speed.","Unsportsmanlike Stomp - Bonus Action, 3PP - Melee attack, Str/Agi, 1 damage, target is Snared for a turn.","Adrenaline - Bonus Action - For the next three turns, double your move speed and as long as you remain on the ground, gain Unstoppable. Until you have 1 HP, gain Competitive."
225,Accessory,Shin Guards,,2,Sports,DR 2,"Lower body protection is often overlooked, but you'll be thankful you're wearing these next time you bump your shin on a piece of furniture",,,,"Padded Protector - Your speed cannot be reduced, Immunity to Slow and Snared","Powerful Kick - Free Action, 2PP - When you make a Ranged X attack, it instead becomes a Line X attack","Juggernaut - Bonus Action - Until the end of your next turn, gain Unstoppable and Fury"
226,Accessory,Splendid Bouquet,,3,Romance,Imag +2,"This colorful assortment of flowers, each on its own masterpiece, blends together perfectly well to make a bouquet of impossible beauty",,,,Impossible Beauty - Appeal checks gain TR2,"Bishie Sparkles - Free Action, 3PP - When you would roll Moxie or Rage, you can instead roll Appeal",Flower Power - Bonus Action - Maximize an Appeal roll
231,Accessory,Scented Shampoo,,2,Romance,Imag +1,"Keeps the grease out of your hair, and smells nice to boot!",,,,"Alluring Scent - Appeal checks on targets in Melee Radius 2 have TR1, and anyone in this zone who attacks you must first roll a d6. On a 3 or below, the attack is minimized","Nosebleed - Action, 2PP - Ranged Line-of-Sight, Inflict Wound 1 on target for every character in melee radius X from the target, where X is the target's Imag",Bottled Bliss - Action - Your next roll gains TR3
232,Accessory,Iconic Hat,,4,Art,Imag +3,"""Wait... that Hat, I've seen it before! That means... No, it can't possibly be! It can only be that person...""",,,,"Iconic - This item contains the Iconic power and the effect of one power of your choice from Iconic Look. These can be swapped during a rest. This item's Active power becomes the effect from Iconic. Any modifiers that would be applied to the Iconic power apply to Don't Wear It Out instead, although the PP cost remains the same","Don't Wear It Out - X Action, 4PP - Use this item's Iconic Power","All Out - Action - Use Don't Wear It Out, gaining the effects of 3 more Iconic Look powers"
233,Accessory,Daruma Doll,,1,Horror,End +1,"This red doll is weighted to right itself when pushed. Its large white eys are blank, one being painted in when you set a goal, and the other being painted in when the goal is complete. In the meantime, it'll be there to give you good luck.",,,,"Wall-Gazer - After sitting motionless in place for a minute, you blend in with the environment, gaining TR4 on Stealth until you move.","Wobbly Doll - Free Action, 1PP - Negate a Stunned, Paralyzed, Snared, or Grappled effect on you","Misfortune Ward - Reaction - When you would fail a save, you instead succeed"
234,Accessory,Woodchipper,,2,Horror,End +1,"With peeling paint, what's not to love about this blood-splattered metal contraption of death. The dents, scratches, and handprints illustrate its highly-trafficked past, and any potential owners should know that this is a reliable piece of machinery! It'll run regardless of what you throw in it!",,,,"Stationary - The Woodchipper inhabits a space. It is not affected by attacks and cannot be destroyed. All characters can move through this space. Any allied character can target a character that's inside or Grappled while adjacent to the space the Woodchipper inhabits as if they're in range of the targeting effect, and attacks made this way can be treated as a Bonus Action, and gain the Wound 4 effect.","Place Woodchipper - Bonus Action, 2PP - Choose an empty space adjacent to you. The Woodchipper now inhabits this space. If the Woodchipper was already placed, it teleports to the new space.","Fleshgrinder - Action - Cone 3, add 5d6, Wound 4, Hit targets are sucked into the same space as the Cone's origin, and then ejected 1d6 spaces in the opposite direction of the Cone."
235,Accessory,The Monkey Paw,,5,Horror,DR [remaining charges],"""A terrible thing, to wish upon the monkey paw""",,,5,"Blood Binding - This item can only be unequipped during a Rest or while the item is Depleted. While Equipped, your Armor Threshold equals the number of remaining Charges. The GM can choose to inflict Backfire on one of your rolls to restore one of this item's charges","Pyrric Wish - Free Action, 5 PP - Consume a charge, +25d6 or +25 Gold","Schadenfreude - Bonus Action - +25d6, TR3, for every even roll result take 1 irreducible damage"
236,Accessory,The Black Crown,,3,Horror,"Know +1
Inst +1","The Black Crown sits atop the Brow of the Prince-Of-All-Evils and it Plots, Plots Abhorrent-Deeds",,,7,"The Price of Penance - Your attacks inflict Wound 1, or if they already inflict Wound, that value increases by 1. Any time you're hit, you gain Wound 1","Enactor of the Abhorrent-Deed - Bonuc Action, 1 Charge - Inflict Wound 5 on a target within 6 spaces. Your next roll gains TR 2","Sanguinity - Bonus Action - For the next three rounds, any time you kill a target while you are Wounded restores one of the Crown's spent charges"
241,Accessory,S-Tier Lotto Prize,,3,Slice of Life,Imag +2,"The golden ball, the lucky draw, the rarest gachapon. There's many ways to win, and you've just scratched the surface.",,,,"Extremify - Whenever you roll, you may choose to first roll a d6. If the result is odd your roll gains TR1, if even your roll gains TI1.","Extreme Luck - Bonus Action, 3PP - Roll a d6. 
If the result is odd: gain TR2 until your next turn 
If the result is even: choose a target in line-of-sight. Their rolls gain TI 2 until the end of their next turn.","Luxury Vacation R&R - Action - You recieve an all expenses paid vacation for a week. Have some narrative downtime, you've earned it! When you come back, everyone regains all of their PP, have TR 1 on all rolls for the rest of the day, and count as Experienced in all skills for the rest of the day. This ultimate can only be recharged after the vacation is complete."
242,Accessory,Quick-Draw Holster,,2,Thriller,Inst +1,"This holster sits flush to the body, with perfect ergonomics to be the first one to draw",,,,"Sure Shot - Whenever you make a Ranged attack, add 1d6","Quickdraw - Reaction, 2PP - Make an attack or use a power that makes an attack. You can't use this if you've already used your action, and if you use this before your action, you forfiet your action this round","Fastest Hand - Reaction - Move your initiative card to the top of the current card, and take your turn now."
243,Accessory,Irishman's Skeleton,,4,Sports,Agi +3,The perfect tool for the martial artist assassin. Always bring your best weapon to every fight.,,,,Hidden Razors - Melee attackers take Agi damage.,"Explosive Punch - Action, 4PP - Make a melee attack that gains Agi bonus successes.","Chest Bomb - Reaction - When you take damage, deal damage equal to Max HP + Know in Radius 3. This damage cannot reduce you below 1HP."
244,Accessory,Exodus,Five Cards of the Forbidden One,3,Sports,Inst +2,"The legendary Exodus was too powerful for this mortal realm, and so its form was split and bound within 5 trading cards. It's said that by collecting them all, a spiky-haired protagonist can unleash its true potential, within tournament rules.",,,,"Card Draw - Once per Round, as a Free Action, add a d6 to a roll. Set aside this dice, keeping track of the dice's result. These results are reset at the end of combat.","Mulligan - Free Action, 3PP - When you roll, you may also reroll any number of dice from Card Draw, adding them to the roll. Afterwards, set them aside again.","Unleash Exodus - Bonus Action - Increase an ability of your choise by 5. Distribute 5 points between your Threshold and Damage. These effects last until the end of combat. This Ultimate can only be used if the dice set aside from Card Draw contain 5 unique numbers. Instead of discharging this item when this Ultimate is used, reset the number of Card Draw dice to 0."
245,Accessory,The Lucky Whistle,,2,Sports,End +1,"""Coach, how'd you know we'd make it to nationals?""",,,,Daily Training - You and all allies gat TR1 on Athletics checks,"Hustle - Bonus Action, 2PP - Two targets within range 10 gain Fury until the end of their next turn",Buzzer Beater - Bonus Action - Two targets within range 10 may move up to their speed and attack
246,Accessory,Signed Jersey,Legacy,5,Sports,"Str +2, End +2","This jersey is full of the blood, sweat, and tears of the greatest athlete to ever live. Every victory, every defeat. Maybe you'll surpass their legacy.",,,,"In the Zone - You're always affected by Fury. Athletics checks recieve TR 2. This item can be worn in the Armor slot, granting Threshold 5","Power Through - Free Action, 5PP - Until the end of your next turn, gain Competitive, double your Speed, and your movement does not trigger reactions","Historic Feat - Free Action - Your next roll is Maximized, add 15d6, and cannot be Boss Resisted"
251,Accessory,Catcher's Mitt,,3,Sports,End +2,"It looks like an innocent catcher's mitt, but the tag inside reads 'Product of ACME Co.'",,,,"Rebound - If an ally targets you with a ranged attack, they can remake the attack with you as the point of origin","Quickball - Free Action, 3PP - When an ally uses Rebound, add 6d6 and TR 2","Knuckleball - Free Action -  When an ally uses Rebound, add 15d6 and TR 3. Additionally, you may change the range to be one of the following: Cone 5, Line 10, Line-of-Sight ignoring cover"
252,Accessory,Long-fall Leg Augments,,1,Mecha,Speed +2,"With these external augmentations, you'll never be caught flat-footed",,,,"Exo-Legs - You don't take damage from falling, and are immune to Slow","Augmented Jump - Bonus Action, 1PP - Jump a number of spaces equal to half your speed","Freerun - Free Action - For the rest of combat, you are immune to Slow, Snared, and Grappled. When you would be Paralyzed, become Stunned instead."
